Openning COM3 at 57600 ...
(10, 0, -39)
(9, -4, -39)
(10, 1, -43)
(10, 2, -38)
(8, 2, -39)
(7, -4, -43)
(12, -2, -40)
(9, -2, -40)
(10, 3, -39)
(11, -2, -41)
(9, 0, -41)
(11, 1, -40)
(10, -3, -40)
(11, -1, -40)
(11, 1, -40)
(9, 1, -41)
(10, 3, -40)
(11, -2, -39)
(10, -3, -39)
(10, 0, -39)
(11, -3, -39)
(13, -2, -40)
(10, 2, -41)
(12, -4, -42)
(10, -3, -42)
(12, 2, -38)
(10, 4, -37)
(11, 4, -39)
(8, 0, -39)
(12, 2, -40)
(10, 0, -40)
(11, 0, -38)
(10, -2, -40)
(10, 0, -41)
(9, -4, -39)
(11, -3, -40)
(10, -2, -42)
(12, 2, -41)
(9, -2, -38)
(11, -3, -41)
(11, -4, -38)
(7, -2, -41)
(12, -4, -40)
(9, -2, -38)
(9, -3, -39)
(12, -4, -39)
(10, -3, -39)
(11, -2, -41)
(11, -2, -40)
(8, -3, -42)
(9, 3, -41)
(13, -3, -38)
(7, 1, -40)
(9, -5, -38)
(9, -4, -39)
(11, -2, -41)
(13, -6, -41)
(9, -2, -40)
(10, -2, -42)
(9, -4, -39)
(8, -2, -41)
(10, -1, -43)
(11, -3, -41)
(12, -5, -39)
(8, -4, -41)
(8, -5, -39)
(10, 2, -40)
(10, 0, -41)
(11, -3, -39)
(10, -7, -40)
(11, -3, -41)
(12, -1, -39)
(9, -2, -41)
(9, 0, -39)
(12, -2, -41)
(12, 2, -41)
(11, 0, -41)
(10, -3, -41)
(12, -2, -40)
(11, -1, -40)
(11, -2, -38)
(11, 0, -43)
(10, -3, -41)
(11, -7, -41)
(10, 0, -40)
(10, -1, -39)
(10, -3, -40)
(10, -3, -40)
(10, -7, -41)
(11, 1, -41)
(8, 0, -40)
(9, -1, -39)
(8, 1, -41)
(8, 3, -39)
(11, -1, -39)
(10, 3, -41)
(8, 3, -41)
(10, -2, -39)
(10, -3, -41)
(12, -4, -39)
(10, -3, -38)
(11, -1, -38)
(9, 0, -40)
(9, -4, -39)
(11, 3, -41)
(10, -1, -35)
(7, -9, -31)
(0, -9, -32)
(6, -15, -1)
(14, -14, 51)
(25, -33, 156)
(31, -45, 218)
(-7, -134, 336)
(-78, -303, 329)
(-60, -442, 297)
(-23, -616, 174)
(-35, -707, 76)
(-53, -799, -242)
(-205, -936, -452)
(-329, -994, -665)
(-478, -1067, -1075)
(-779, -1074, -1262)
(-900, -1047, -1427)
(-1183, -858, -1821)
(-1324, -771, -2043)
(-1439, -706, -2442)
(-1407, -749, -2577)
(-1259, -846, -2673)
(-852, -1069, -2786)
(-671, -1110, -2820)
(-536, -1062, -2839)
(-310, -720, -2804)
(-212, -467, -2723)
(-173, 1, -2564)
(-263, 145, -2548)
(-412, 239, -2667)
(-732, 351, -2769)
(-861, 387, -2883)
(-966, 405, -3120)
(-1205, 385, -3249)
(-1353, 350, -3404)
(-1584, 295, -3684)
(-1578, 297, -3749)
(-1517, 278, -3750)
(-1247, 250, -3703)
(-1133, 236, -3682)
(-993, 233, -3693)
(-897, 275, -3534)
(-811, 326, -2713)
(-697, 572, -2171)
(-691, 736, -1727)
(-941, 1301, -1478)
(-1138, 1714, -1631)
(-1335, 2000, -1907)
(-1519, 1784, -1845)
(-1440, 1403, -1633)
(-1200, 703, -940)
(-500, 563, -665)
(-216, 581, -634)
(3, 850, -725)
(-42, 911, -745)
(-133, 769, -470)
(-181, 638, -205)
(-89, 526, 87)
(314, 285, 628)
(524, 197, 828)
(677, 68, 931)
(827, 17, 943)
(893, -41, 1034)
(1052, -153, 1550)
(1200, -188, 1967)
(1406, -206, 2909)
(1910, -285, 3295)
(2136, -367, 3496)
(2372, -567, 3271)
(2347, -626, 3012)
(2247, -683, 2681)
(1911, -855, 2743)
(1739, -979, 2954)
(1617, -1247, 3652)
(1610, -1326, 4046)
(1675, -1326, 4400)
(1658, -949, 4847)
(1528, -625, 4923)
(1344, 55, 4846)
(905, 372, 4728)
(668, 622, 4585)
(233, 787, 4278)
(103, 691, 4117)
(63, 525, 3727)
(254, 154, 3521)
(390, 24, 3310)
(521, -16, 2856)
(547, 53, 2618)
(558, 154, 2120)
(500, 389, 1858)
(440, 497, 1585)
(382, 570, 1065)
(197, 535, 839)
(73, 461, 654)
(-123, 194, 367)
(-150, 46, 258)
(-124, -192, 102)
(-54, -284, 24)
(-68, -383, -78)
(-210, -699, -347)
(-308, -938, -482)
(-404, -1210, -677)
(-530, -1795, -702)
(-519, -2061, -684)
(-282, -2525, -587)
(-76, -2703, -566)
(157, -2843, -566)
(555, -3015, -587)
(692, -3079, -607)
(794, -3245, -610)
(882, -3351, -594)
(825, -3459, -599)
(781, -3689, -701)
(895, -3753, -760)
(1018, -3770, -839)
(1288, -3747, -761)
(1391, -3744, -597)
(1502, -3819, -87)
(1506, -3838, 158)
(1472, -3768, 301)
(1349, -3403, 170)
(1245, -3208, -37)
(929, -3006, -463)
(717, -2982, -565)
(497, -2984, -457)
(358, -3034, -292)
(548, -3099, -143)
(876, -3263, 32)
(1469, -3293, 41)
(1571, -3251, 15)
(1241, -2901, -51)
(906, -2555, -60)
(627, -1772, -12)
(263, -1363, 14)
(228, -963, 50)
(281, -264, 89)
(295, -10, 59)
(263, 198, -94)
(92, 656, -208)
(-24, 956, -315)
(-253, 1690, -444)
(-346, 2065, -455)
(-400, 2428, -373)
(-425, 3061, -309)
(-436, 3347, -256)
(-468, 3860, -199)
(-559, 4077, -187)
(-642, 4256, -187)
(-958, 4529, -207)
(-1151, 4624, -235)
(-1301, 4736, -263)
(-1432, 4742, -238)
(-1406, 4708, -193)
(-1285, 4505, -17)
(-1268, 4339, 110)
(-1342, 4132, 423)
(-1676, 3708, 572)
(-1838, 3513, 709)
(-1974, 3123, 965)
(-1906, 2927, 1071)
(-1733, 2648, 1253)
(-1430, 2215, 1246)
(-1211, 2027, 1164)
(-1041, 1964, 857)
(-517, 2177, 729)
(478, 3088, 213)
(550, 2865, 207)
(338, 2263, 329)
(437, 1929, 123)
(687, 1780, -17)
(673, 1614, -108)
(562, 1483, -245)
(443, 1348, -278)
(316, 936, -313)
(204, 678, -352)
(253, 426, -390)
(417, -11, -494)
(489, -154, -586)
(253, -30, -804)
(-215, 99, -868)
(-277, -168, -1008)
(-201, -481, -1346)
(-229, -563, -1569)
(-237, -631, -2108)
(-300, -664, -2368)
(-361, -602, -2617)
(-420, -411, -3014)
(-523, -308, -3172)
(-566, -203, -3305)
(-668, -81, -3471)
(-720, -81, -3488)
(-782, -178, -3451)
(-877, -228, -3463)
(-860, -255, -3519)
(-839, -264, -3735)
(-914, -228, -3872)
(-1094, -162, -4193)
(-1723, -104, -4336)
(-2066, -142, -4430)
(-2726, -193, -4515)
(-2973, -150, -4509)
(-3126, -77, -4194)
(-2929, 143, -3860)
(-2609, 267, -3477)
(-2223, 577, -2897)
(-1531, 782, -2755)
(-1330, 988, -2668)
(-1374, 1320, -2526)
(-1488, 1397, -2365)
(-1553, 1315, -1898)
(-1342, 1254, -1699)
(-1108, 1218, -1592)
(-669, 1100, -1681)
(-477, 966, -1730)
(-364, 811, -1480)
(-127, 703, -1151)
(-28, 875, -740)
(-109, 650, -255)
(-173, 667, -190)
(-167, 566, -171)
(-32, 298, -72)
(118, 118, 106)
(302, -61, 735)
(810, -71, 1148)
(1085, -49, 1945)
(1574, 63, 2185)
(1715, 146, 2173)
(1756, 267, 1531)
(1741, 204, 1218)
(1735, 1, 1133)
(1872, -644, 1782)
(2018, -948, 2384)
(2190, -1362, 3595)
(2491, -1504, 4062)
(2539, -1579, 4360)
(2267, -1427, 4476)
(1873, -1152, 4352)
(1036, -586, 3854)
(652, -212, 3563)
(755, -295, 3314)
(844, -295, 3132)
(1269, -537, 3144)
(1310, -474, 3323)
(857, -20, 3378)
(751, 104, 3349)
(724, 199, 3013)
(400, 306, 2774)
(225, 401, 2523)
(-65, 458, 2106)
(-134, 454, 1965)
(-165, 396, 1814)
(-132, 350, 1782)
(-143, 347, 1754)
(-167, 365, 1644)
(-229, 447, 1584)
(-243, 471, 1529)
(337, 862, 1500)
(447, 1145, 1439)
(290, 929, 1479)
(215, 691, 1431)
(320, 714, 1059)
(133, 688, 905)
(72, 676, 764)
(94, 673, 566)
(79, 594, 544)
(80, 534, 530)
(79, 294, 442)
(66, 151, 378)
(44, -114, 257)
(-25, -232, 206)
(-46, -362, 178)
(-78, -744, 183)
(-84, -954, 162)
(-102, -1175, 60)
(-159, -1615, 8)
(-172, -1823, -42)
(-142, -2233, -94)
(-140, -2396, -121)
(-172, -2527, -228)
(-323, -2648, -310)
(-414, -2677, -390)
(-489, -2683, -495)
(-656, -2670, -529)
(-724, -2660, -558)
(-779, -2721, -581)
(-803, -2776, -591)
(-846, -2841, -648)
(-961, -2879, -694)
(-1002, -2936, -750)
(-1038, -3089, -889)
(-1029, -3169, -963)
(-998, -3198, -1088)
(-893, -3072, -1176)
(-805, -2885, -1287)
(-657, -2430, -1532)
(-598, -2311, -1595)
(-556, -2281, -1517)
(-434, -2366, -1394)
(-402, -2409, -1222)
(-367, -2468, -789)
(-137, -2476, -584)
(79, -2466, -330)
(529, -2360, -279)
(694, -2263, -261)
(820, -2080, -254)
(1015, -1984, -242)
(1112, -1911, -237)
(1268, -1656, -275)
(1258, -1438, -311)
(1150, -1167, -373)
(892, -629, -357)
(830, -406, -300)
(878, -192, -154)
(923, -186, -89)
(867, -203, -67)
(371, -278, -95)
(-24, -322, -133)
(-443, -417, -181)
(-1258, -458, -159)
(-1606, -464, -33)
(-2277, -421, 57)
(-2623, -369, 149)
(-2946, -284, 298)
(-3519, -263, 347)
(-3785, -266, 354)
(-4269, -294, 231)
(-4398, -312, 148)
(-4412, -322, 75)
(-4096, -316, 107)
(-3803, -305, 181)
(-3219, -207, 414)
(-3062, -109, 499)
(-3054, 17, 519)
(-3254, 277, 505)
(-3225, 358, 536)
(-2747, 281, 583)
(-2501, 165, 479)
(-2405, 80, 61)
(-2649, 29, -152)
(-2873, 61, -316)
(-3047, 86, -334)
(-2794, -1, -177)
(-2395, -142, -41)
(-1552, -381, 40)
(-1159, -464, 9)
(-788, -462, -116)
(-193, -399, -154)
(61, -287, -131)
(639, -86, 45)
(920, -28, 134)
(1142, -8, 215)
(1505, -65, 207)
(1715, -77, 176)
(2381, -46, 103)
(2818, -7, 81)
(3244, 26, -56)
(3721, 162, -148)
(3718, 238, -203)
(3604, 406, -278)
(3370, 519, -338)
(3334, 588, -388)
(3442, 598, -458)
(3565, 598, -508)
(3693, 600, -542)
(3972, 576, -517)
(4169, 545, -477)
(4707, 465, -402)
(4930, 432, -353)
(5048, 449, -346)
(5084, 558, -374)
(4865, 663, -359)
(4146, 962, -322)
(3809, 1101, -328)
(3607, 1208, -394)
(3772, 1185, -403)
(3877, 1087, -377)
(3843, 902, -205)
(3468, 830, -99)
(3166, 797, 31)
(2490, 750, 86)
(2231, 708, 116)
(2077, 642, 106)
(2025, 624, 102)
(2055, 618, 99)
(2062, 591, 103)
(2003, 585, 150)
(1869, 569, 292)
(1446, 536, 346)
(1163, 485, 371)
(390, 272, 368)
(-108, 134, 350)
(-660, 9, 309)
(-1663, -171, 273)
(-2070, -203, 231)
(-2472, -181, 191)
(-3262, -152, 209)
(-3621, -102, 283)
(-4102, -97, 300)
(-4148, -170, 290)
(-4038, -403, 209)
(-4067, -495, 199)
(-4246, -478, 214)
(-4601, -625, 185)
(-4744, -720, 124)
(-4812, -901, -88)
(-4774, -955, -211)
(-4689, -935, -307)
(-4322, -729, -378)
(-4050, -549, -339)
(-3716, -356, -190)
(-3109, -17, -140)
(-2955, 104, -138)
(-3056, 258, -296)
(-3149, 323, -379)
(-3182, 381, -536)
(-3011, 437, -613)
(-2787, 428, -681)
(-2504, 369, -835)
(-1919, 349, -856)
(-1667, 310, -771)
(-1263, 167, -419)
(-1078, 69, -294)
(-899, 12, -140)
(-541, 83, -45)
(-376, 163, 41)
(-132, 222, 100)
(-41, 202, 88)
(38, 151, 77)
(202, 35, 117)
(342, -14, 201)
(631, -82, 421)
(691, -102, 505)
(657, -96, 572)
(435, -47, 582)
(416, -52, 612)
(560, -139, 755)
(1277, -251, 827)
(1664, -379, 856)
(2118, -520, 819)
(2173, -448, 804)
(2113, -170, 948)
(1665, -221, 1180)
(1460, -285, 1479)
(1735, -253, 2125)
(1857, -273, 2279)
(1843, -369, 2141)
(1622, -585, 1955)
(1574, -616, 1727)
(1620, -564, 1458)
(1647, -541, 1390)
(1629, -540, 1330)
(1537, -525, 1314)
(1591, -473, 1323)
(1677, -349, 1388)
(1682, -299, 1397)
(1548, -248, 1276)
(1252, -214, 1135)
(1171, -213, 962)
(1099, -198, 529)
(848, -159, 270)
(693, -83, -11)
(407, 174, -596)
(262, 342, -902)
(122, 488, -1465)
(-154, 674, -1699)
(-288, 678, -1896)
(-442, 583, -2109)
(-433, 528, -2105)
(-394, 506, -1970)
(-275, 602, -1880)
(-241, 726, -1788)
(-291, 1082, -1626)
(-691, 1322, -1586)
(-939, 1547, -1482)
(-1248, 1802, -1404)
(-1294, 1776, -1324)
(-1257, 1641, -1317)
(-1027, 1643, -1397)
(-887, 1692, -1463)
(-827, 1821, -1524)
(-986, 1872, -1553)
(-1175, 1984, -1481)
(-1382, 2062, -1325)
(-1297, 2128, -1074)
(-902, 2191, -489)
(-756, 2226, -306)
(-719, 2308, -346)
(-763, 2461, -533)
(-775, 2464, -769)
(-713, 2333, -1216)
(-719, 2266, -1320)
(-744, 2206, -1196)
(-772, 2054, -1008)
(-781, 1937, -833)
(-797, 1992, -744)
(-959, 2102, -819)
(-1060, 2169, -948)
(-1199, 2018, -1185)
(-1274, 1808, -1208)
(-1424, 1290, -837)
(-1746, 1085, -492)
(-1759, 964, -163)
(-1228, 870, 232)
(-757, 877, 209)
(-264, 897, -176)
(339, 922, -454)
(357, 943, -741)
(54, 917, -1193)
(-141, 807, -1317)
(-250, 644, -1424)
(-256, 450, -1441)
(-189, 418, -1454)
(-93, 309, -1497)
(137, 218, -1521)
(212, 141, -1502)
(72, 100, -1429)
(-24, 167, -1334)
(-56, 409, -1227)
(20, 480, -1191)
(38, 473, -1125)
(-113, 464, -900)
(-234, 499, -757)
(-323, 539, -253)
(-281, 512, 125)
(-161, 497, 558)
(169, 570, 1314)
(291, 641, 1509)
(341, 699, 1613)
(349, 743, 1671)
(392, 743, 1821)
(493, 670, 2415)
(845, 620, 2770)
(1057, 583, 3315)
(1495, 674, 3566)
(1644, 768, 3826)
(1680, 831, 4154)
(1372, 762, 4084)
(1088, 621, 3855)
(527, 176, 3134)
(375, -13, 2796)
(362, -116, 2522)
(617, -90, 2622)
(777, -47, 2833)
(1013, 26, 3286)
(1062, 41, 3372)
(1007, 37, 3038)
(606, 125, 2643)
(329, 192, 2138)
(-105, 311, 1019)
(-163, 367, 485)
(-122, 401, -417)
(11, 226, -778)
(15, 77, -1104)
(-26, -206, -1812)
(-218, -324, -2219)
(-418, -422, -2665)
(-1012, -553, -3625)
(-1219, -575, -4047)
(-1270, -526, -4510)
(-1128, -519, -4544)
(-1109, -570, -4467)
(-1358, -849, -4162)
(-1467, -968, -4009)
(-1486, -1014, -3643)
(-1400, -804, -3442)
(-1426, -588, -3234)
(-1890, -355, -2897)
(-2191, -374, -2751)
(-2420, -467, -2368)
(-2427, -603, -2067)
(-2187, -560, -1745)
(-1831, -118, -1226)
(-853, 211, -1070)
(-369, 454, -941)
(265, 407, -600)
(477, 193, -339)
(667, -319, 271)
(1050, -520, 537)
(1254, -667, 745)
(1576, -869, 1033)
(1673, -1006, 1131)
(1747, -1196, 1299)
(1930, -1662, 1416)
(2081, -1900, 1584)
(2560, -2252, 2124)
(2844, -2386, 2477)
(3117, -2503, 3088)
(3358, -2659, 3200)
(3272, -2673, 3127)
(3059, -2583, 2562)
(2472, -2517, 2221)
(2250, -2455, 1706)
(2206, -2329, 1591)
(2401, -2284, 1567)
(2670, -2329, 1677)
(3017, -2400, 1738)
(2969, -2450, 1762)
(2441, -2458, 1585)
(2086, -2410, 1412)
(1754, -2245, 1050)
(1309, -2170, 905)
(1225, -2126, 793)
(1367, -2143, 663)
(1563, -2179, 590)
(1696, -2220, 287)
(1600, -2314, 99)
(1423, -2332, -51)
(1265, -2235, -111)
(1283, -2179, -44)
(1453, -2133, 154)
(1853, -2033, 251)
(1993, -1987, 361)
(2136, -1865, 602)
(2417, -1820, 699)
(2471, -1792, 771)
(2250, -1678, 796)
(1970, -1522, 772)
(1637, -960, 763)
(977, -650, 735)
(710, -390, 672)
(430, -188, 416)
(363, -245, 244)
(287, -370, -142)
(-4, -526, -335)
(-167, -446, -511)
(-294, 17, -723)
(-260, 322, -736)
(-235, 605, -675)
(-258, 1116, -611)
(-265, 1340, -527)
(-249, 1690, -335)
(-199, 1861, -248)
(-214, 2082, -194)
(-501, 2646, -190)
(-688, 2970, -195)
(-828, 3552, -133)
(-975, 3773, -81)
(-957, 3895, -35)
(-717, 3882, 62)
(-510, 3734, 132)
(-303, 3527, 304)
(-97, 3215, 350)
(-112, 3261, 341)
(-233, 3707, 126)
(-252, 3928, -47)
(-124, 4055, -128)
(259, 3908, -7)
(227, 3696, 170)
(56, 3143, 521)
(-472, 2810, 586)
(-616, 2584, 587)
(-798, 2616, 444)
(-734, 2833, 315)
(-568, 3203, -37)
(65, 3218, -182)
(333, 3106, -274)
(385, 2662, -292)
(197, 2445, -255)
(30, 2198, -224)
(215, 2062, -255)
(336, 1927, -331)
(527, 1431, -436)
(616, 1339, -496)
(222, 1461, -522)
(-333, 1576, -443)
(-243, 1412, -439)
(-117, 934, -427)
(-154, 681, -371)
(-73, 531, -346)
(-55, 144, -270)
(-31, -77, -205)
(36, -563, -106)
(70, -854, -201)
(90, -1197, -312)
(112, -1870, -551)
(117, -2173, -660)
(165, -2446, -727)
(450, -2898, -717)
(616, -3051, -704)
(920, -3334, -699)
(1034, -3441, -698)
(1098, -3547, -676)
(1191, -3794, -645)
(1253, -3886, -590)
(1302, -3856, -424)
(1301, -3735, -328)
(1216, -3585, -223)
(921, -3311, -213)
(729, -3270, -187)
(542, -3466, -41)
(395, -3686, 84)
(423, -3906, 220)
(504, -4127, 403)
(547, -4087, 427)
(574, -3965, 344)
(512, -3633, 291)
(457, -3442, 270)
(305, -3008, 314)
(220, -2763, 316)
(132, -2488, 189)
(-10, -1949, 76)
(-2, -1760, -32)
(39, -1511, -137)
(89, -1440, -118)
(37, -1373, -2)
(-211, -1223, 60)
(-342, -1162, 113)
(-454, -1085, 151)
(-534, -1069, 146)
(-546, -1035, 128)
(-574, -905, 22)
(-598, -860, -71)
(-634, -909, -291)
(-833, -943, -388)
(-985, -964, -467)
(-1277, -930, -635)
(-1409, -881, -739)
(-1552, -817, -962)
(-1904, -649, -1070)
(-2091, -544, -1186)
(-2431, -354, -1459)
